blob_id,ra,dec,l,b
0,107.25274725274726,-16.047874938935024,229.19872373727847,-3.4704816003152485
0,107.07692307692308,-16.135808500244266,229.1996242301234,-3.660929959662728
0,106.98901098901099,-16.311675622862722,229.3177462375692,-3.8163681180254985
0,106.98901098901099,-16.487542745481193,229.47456895922087,-3.8966621692909857
0,107.07692307692308,-16.57547630679042,229.59155083473732,-3.8618342385799087
0,107.16483516483517,-16.75134342940889,229.78691265076796,-3.8672587707887565
0,106.98901098901099,-16.839276990718133,229.7883048256596,-4.057162341466952
0,106.9010989010989,-17.01514411333659,229.90680187651867,-4.212191570652571
0,107.07692307692308,-17.19101123595506,230.1405618644774,-4.142795304143946
0,107.16483516483517,-17.278944797264288,230.25742274439276,-4.108203638868343
0,107.07692307692308,-17.454811919882758,230.37597012295822,-4.263092592546386
0,106.9010989010989,-17.542745481191986,230.37788198178924,-4.4524277639175756
0,106.81318681318682,-17.542745481191986,230.33963541828658,-4.527077237762167
0,106.63736263736264,-17.454811919882758,230.1846145969379,-4.636500004836496
0,106.46153846153847,-17.278944797264288,229.95097090281908,-4.706226139683006
0,106.37362637362638,-17.19101123595506,229.83412809748307,-4.741193448083181
0,106.1978021978022,-17.01514411333659,229.600400272158,-4.811333659694454
0,106.10989010989012,-16.92721055202736,229.48351512947917,-4.846505405942085
0,105.93406593406594,-16.75134342940889,229.24970206885232,-4.917049281696471
0,105.75824175824177,-16.663409868099663,229.09459133808517,-5.027561254791694
0,105.67032967032968,-16.57547630679042,228.9776489651471,-5.06304181547039
0,105.4945054945055,-16.399609184171965,228.74372012316695,-5.134195418983345
0,105.40659340659342,-16.311675622862722,228.62673351408472,-5.169867294721753
0,105.23076923076924,-16.135808500244266,228.39271556167242,-5.241398271425291
0,105.14285714285715,-16.047874938935024,228.27568407197285,-5.2772562013131745
0,104.96703296703298,-16.135808500244266,228.27829946831056,-5.467688879713303
0,104.87912087912089,-16.311675622862722,228.39812325061564,-5.622061214335969
0,104.70329670329672,-16.399609184171965,228.40112776330625,-5.812287610380212
0,104.52747252747254,-16.487542745481193,228.40433430315085,-6.002443192827437
0,104.43956043956045,-16.663409868099663,228.5247109707903,-6.156393812419108
0,104.52747252747254,-16.75134342940889,228.64166057803368,-6.12032056414083
0,104.61538461538463,-16.839276990718133,228.75859297140892,-6.084308226397266
0,104.70329670329672,-17.01514411333659,228.95461146396838,-6.087662747992998
0,104.52747252747254,-17.10307767464583,228.9582588010501,-6.27732785830336
0,104.43956043956045,-17.278944797264288,229.0789835465536,-6.4309075119455565
0,104.43956043956045,-17.36687835857353,229.15821360068583,-6.470075599363356
0,104.61538461538463,-17.454811919882758,229.31266338530142,-6.359072835248664
0,104.70329670329672,-17.630679042501228,229.50866228753017,-6.362473490588799
0,104.52747252747254,-17.718612603810456,229.512767642476,-6.551629878097994
0,104.43956043956045,-17.894479726428926,229.63385443961917,-6.704823783466768
0,104.43956043956045,-17.982413287738154,229.71317201212605,-6.743904373315069
0,104.61538461538463,-18.158280410356625,229.9466129634734,-6.67236502252389
0,104.70329670329672,-18.246213971665853,230.063305416823,-6.636693536304214
0,104.61538461538463,-18.422081094284323,230.1845510086732,-6.789642747943625
0,104.43956043956045,-18.51001465559355,230.18934866008942,-6.978116265005943
0,104.43956043956045,-18.597948216902793,230.26875731383376,-7.017105586759258
0,104.61538461538463,-18.77381533952125,230.5019824287653,-6.9458321577253
0,104.70329670329672,-18.86174890083049,230.61856591823428,-6.910296529434543
0,104.61538461538463,-19.037616023448948,230.74019405362802,-7.062835850227788
0,104.43956043956045,-19.12554958475819,230.74549109363417,-7.250758538603804
0,104.52747252747254,-19.301416707376646,230.9415059200436,-7.254118103784267
