event_name,overlap_pct,ra_deg,dec_deg
GW230811_032116,31.0417,67.412109,35.090514
GW230811_032116,31.0417,67.456055,35.044939
GW230811_032116,31.0417,67.500000,34.999390
GW230811_032116,31.0417,67.587891,34.999390
GW230811_032116,31.0417,67.675781,34.999390
GW230811_032116,31.0417,67.543945,34.953865
GW230811_032116,31.0417,67.631836,34.953865
GW230811_032116,31.0417,67.500000,34.908366
GW230811_032116,31.0417,67.587891,34.908366
GW230811_032116,31.0417,67.675781,34.908366
GW230811_032116,31.0417,67.763672,34.908366
GW230811_032116,31.0417,67.456055,34.862892
GW230811_032116,31.0417,67.543945,34.862892
GW230811_032116,31.0417,67.631836,34.862892
GW230811_032116,31.0417,67.719727,34.862892
GW230811_032116,31.0417,67.807617,34.862892
GW230811_032116,31.0417,67.895508,34.862892
GW230811_032116,31.0417,67.412109,34.817444
GW230811_032116,31.0417,67.500000,34.817444
GW230811_032116,31.0417,67.587891,34.817444
GW230811_032116,31.0417,67.675781,34.817444
GW230811_032116,31.0417,67.763672,34.817444
GW230811_032116,31.0417,67.851562,34.817444
GW230811_032116,31.0417,67.939453,34.817444
GW230811_032116,31.0417,67.368164,34.772020
GW230811_032116,31.0417,67.456055,34.772020
GW230811_032116,31.0417,67.543945,34.772020
GW230811_032116,31.0417,67.631836,34.772020
GW230811_032116,31.0417,67.719727,34.772020
GW230811_032116,31.0417,67.807617,34.772020
GW230811_032116,31.0417,67.895508,34.772020
GW230811_032116,31.0417,67.983398,34.772020
GW230811_032116,31.0417,68.071289,34.772020
GW230811_032116,31.0417,67.324219,34.726622
GW230811_032116,31.0417,67.412109,34.726622
GW230811_032116,31.0417,67.500000,34.726622
GW230811_032116,31.0417,67.587891,34.726622
GW230811_032116,31.0417,67.675781,34.726622
GW230811_032116,31.0417,67.763672,34.726622
GW230811_032116,31.0417,67.851562,34.726622
GW230811_032116,31.0417,67.939453,34.726622
GW230811_032116,31.0417,68.027344,34.726622
GW230811_032116,31.0417,68.115234,34.726622
GW230811_032116,31.0417,68.203125,34.726622
GW230811_032116,31.0417,67.280273,34.681248
GW230811_032116,31.0417,67.368164,34.681248
GW230811_032116,31.0417,67.456055,34.681248
GW230811_032116,31.0417,67.543945,34.681248
GW230811_032116,31.0417,67.631836,34.681248
GW230811_032116,31.0417,67.719727,34.681248
GW230811_032116,31.0417,67.807617,34.681248
GW230811_032116,31.0417,67.895508,34.681248
GW230811_032116,31.0417,67.983398,34.681248
GW230811_032116,31.0417,68.071289,34.681248
GW230811_032116,31.0417,68.159180,34.681248
GW230811_032116,31.0417,68.247070,34.681248
GW230811_032116,31.0417,67.236328,34.635899
GW230811_032116,31.0417,67.324219,34.635899
GW230811_032116,31.0417,67.412109,34.635899
GW230811_032116,31.0417,67.500000,34.635899
GW230811_032116,31.0417,67.587891,34.635899
GW230811_032116,31.0417,67.675781,34.635899
GW230811_032116,31.0417,67.763672,34.635899
GW230811_032116,31.0417,67.851562,34.635899
GW230811_032116,31.0417,67.939453,34.635899
GW230811_032116,31.0417,68.027344,34.635899
GW230811_032116,31.0417,68.115234,34.635899
GW230811_032116,31.0417,68.203125,34.635899
GW230811_032116,31.0417,68.291016,34.635899
GW230811_032116,31.0417,68.378906,34.635899
GW230811_032116,31.0417,67.192383,34.590575
GW230811_032116,31.0417,67.280273,34.590575
GW230811_032116,31.0417,67.368164,34.590575
GW230811_032116,31.0417,67.456055,34.590575
GW230811_032116,31.0417,67.543945,34.590575
GW230811_032116,31.0417,67.631836,34.590575
GW230811_032116,31.0417,67.719727,34.590575
GW230811_032116,31.0417,67.807617,34.590575
GW230811_032116,31.0417,67.895508,34.590575
GW230811_032116,31.0417,67.983398,34.590575
GW230811_032116,31.0417,68.071289,34.590575
GW230811_032116,31.0417,68.159180,34.590575
GW230811_032116,31.0417,68.247070,34.590575
GW230811_032116,31.0417,68.334961,34.590575
