run_label,event_name,rank_in_event,votes,radius_arcmin,ra,dec,srvmap,blob_id,predicted_theta_arcmin,smoothing_sigma_px
unsmoothed,GW200208_130117,1,8301.0,15.333333333333334,140.9225235844847,-32.03519185672173,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,2,8292.9990234375,15.333333333333334,140.8645270394168,-32.015879771581325,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,3,8287.9990234375,15.333333333333334,140.88211798105218,-32.0501251800973,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,4,8273.0,15.333333333333334,140.96082164317184,-32.05139034835389,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,5,8246.0,15.333333333333334,140.88410895373985,-32.092333449633756,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,6,8235.0,15.333333333333334,140.9095234501542,-32.122036085727636,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,7,8233.0,15.333333333333334,140.64042866472963,-31.724891508038485,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,8,8232.0,15.333333333333334,140.75848803489916,-31.93594575400743,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,9,8231.0,15.333333333333334,140.64113157871205,-31.87603912791626,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,10,8230.0009765625,15.333333333333334,140.81668123383363,-31.97308709608966,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,11,8222.0,15.333333333333334,140.77112833761632,-31.99359975808971,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,12,8221.9990234375,15.333333333333334,140.72398277193648,-31.904085489273537,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,13,8216.9990234375,15.333333333333334,140.81503063297671,-32.03645428649149,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,14,8215.0,15.333333333333334,140.5723278348733,-31.71221207105008,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,15,8211.9990234375,15.333333333333334,140.76834061265083,-31.893604995245724,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,16,8208.0009765625,15.333333333333334,140.63798224863936,-31.83605965656157,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,17,8194.9990234375,15.333333333333334,140.69568171011824,-31.939946537194384,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,18,8184.99951171875,15.333333333333334,140.7616286028249,-32.06038528635776,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,19,8184.99951171875,15.333333333333334,140.73629729163582,-32.03176306969849,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,20,8184.00048828125,15.333333333333334,140.5428679698,-31.760277335152303,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,21,8183.99853515625,15.333333333333334,140.69541034100462,-31.826586041630485,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,22,8183.00048828125,17.0,140.92784077198374,-32.03957252178307,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,23,8175.0,15.333333333333334,140.59594115144128,-31.82202060331686,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,24,8173.0,15.333333333333334,140.67671302675015,-31.989042011654835,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,25,8167.99951171875,15.333333333333334,140.71289094336228,-31.767497143765777,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,26,8163.998046875,15.333333333333334,140.6020361173556,-31.78750798302153,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,27,8162.9990234375,15.333333333333334,140.73952642002328,-31.80166901870702,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,28,8131.0,15.333333333333334,140.60370127567847,-31.916415044169064,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,29,8119.00048828125,17.0,140.8683153728911,-32.08918569187264,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,30,8116.0,17.0,140.63122521583864,-31.720536783697764,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,31,8114.9990234375,17.0,140.81211997754167,-32.01759389717499,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,32,8113.0,17.0,140.5983102424087,-31.70085074427258,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,33,8110.9990234375,17.0,140.80497576813497,-31.978776121553526,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,34,8105.99951171875,17.0,140.92122239202394,-32.11522629600069,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,35,8100.0,17.0,140.77396349803797,-32.00801649274283,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,36,8098.0,17.0,140.8272411052104,-32.0629883090168,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,37,8091.00048828125,17.0,140.58044547585783,-31.734364708616585,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,38,8086.99951171875,17.0,140.67422915876875,-31.71232480862952,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,39,8078.9990234375,17.0,140.7206726692203,-31.94746480581008,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,40,8078.9990234375,17.0,140.69729121674996,-31.867689020695288,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,41,8073.99951171875,17.0,140.7682011629227,-32.06142497065855,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,42,8070.99951171875,17.0,140.53563220515122,-31.70254803037362,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,43,8068.0,17.0,140.67154864227163,-31.99465140266711,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,44,8065.9990234375,17.0,140.66783340097834,-31.91467006726391,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,45,8065.9990234375,17.0,140.74877262121908,-31.898263388962484,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,46,8065.9990234375,17.0,140.64749553604463,-31.86263893773405,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,47,8064.9990234375,17.0,140.72179900842772,-32.02636023690284,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,48,8054.99951171875,17.0,140.79634459405548,-31.927748764589424,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,49,8052.0,18.666666666666668,140.94272612953992,-32.06717421922597,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,50,8048.9990234375,17.0,140.65829497440478,-31.79028823638639,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,51,8039.99951171875,17.0,140.6322072713957,-31.89390974202969,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,52,8039.99951171875,17.0,140.550155019321,-31.821338804946674,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,53,8036.0,15.333333333333334,140.63859308794025,-31.5859731046431,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,54,8029.0,18.666666666666668,140.91180073246917,-32.100892817417126,139123,0,17.065216606592152,
unsmoothed,GW200208_130117,55,8029.0,18.666666666666668,140.90313177896334,-32.05209713702524,139123,0,17.065216606592152,
