event_name,overlap_percentage
GW190720_000836,44.79
GW230624_113103,42.69
GW230927_043729,37.73
GW231005_021030,34.37
GW190707_093326,30.09
GW190930_133541,29.8
GW230922_040658,29.46
GW230729_082317,29.44
GW230825_041334,25.13
GW191215_223052,23.03
GW190910_112807,22.92
GW231118_005626,22.9
GW200316_215756,22.67
GW231018_233037,21.91
GW200302_015811,21.79
GW230605_065343,21.72
GW190803_022701,21.43
GW190828_065509,20.87
GW231004_232346,19.74
GW190513_205428,19.68
GW231223_075055,19.61
GW230811_032116,19.58
GW230708_230935,18.42
GW190725_174728,17.53
GW230608_205047,15.95
GW231110_040320,15.27
GW231014_040532,15.2
GW200306_093714,14.99
GW190517_055101,14.91
GW231206_233134,14.71
GW200208_222617,14.53
GW190929_012149,14.29
GW200308_173609,14.25
GW231113_122623,13.93
GW190519_153544,13.51
GW230824_033047,13.5
GW190521_074359,13.33
GW190408_181802,13.0
GW230820_212515,12.87
GW230924_124453,12.82
GW191127_050227,12.46
GW200112_155838,12.44
GW230609_064958,12.11
GW231029_111508,11.64
GW191113_071753,11.57
GW231114_043211,11.42
GW240109_050431,11.2
GW230723_101834,11.03
GW230702_185453,10.92
GW230831_015414,10.89
GW191222_033537,10.66
GW231118_090602,10.5
GW151012,10.43
GW151226,10.37
GW230920_071124,9.82
GW231223_202619,9.61
GW230819_171910,9.53
GW230709_122727,9.42
GW231005_091549,9.25
GW200216_220804,9.24
GW230630_125806,9.1
GW230707_124047,9.02
GW190602_175927,8.99
GW230606_004305,8.88
GW230706_104333,8.78
GW230805_034249,8.78
GW200128_022011,8.73
GW230914_111401,8.65
GW200322_091133,8.64
GW230601_224134,8.53
GW231102_071736,8.47
GW230930_110730,8.47
GW170823,8.46
GW230927_153832,8.45
GW231008_142521,8.39
GW240104_164932,8.35
GW231129_081745,8.23
GW230704_212616,8.19
GW190926_050336,8.17
GW200220_124850,8.14
GW231224_024321,8.13
GW190512_180714,7.88
GW191109_010717,7.45
GW231230_170116,7.45
GW231119_075248,7.44
GW231223_032836,7.25
GW191216_213338,7.24
GW230708_053705,7.22
GW190731_140936,7.1
GW190514_065416,7.0
GW190421_213856,6.97
GW231118_071402,6.63
GW190727_060333,6.42
GW231127_165300,6.41
GW231020_142947,6.34
GW231001_140220,6.3
GW230704_021211,6.24
GW240107_013215,6.19
GW190426_190642,6.04
GW230928_215827,5.91
GW191204_171526,5.6
GW230911_195324,5.58
GW230803_033412,5.42
GW191204_110529,5.29
GW170729,5.08
GW230726_002940,5.0
GW191126_115259,4.86
GW170104,4.83
GW150914,4.81
GW231113_200417,4.56
GW230919_215712,4.26
GW231108_125142,3.81
GW231231_154016,3.66
GW230814_230901,3.28
GW230806_204041,2.98
GW231221_135041,2.79
GW200129_065458,2.65
GW230630_234532,2.38
GW190828_063405,2.13
GW190620_030421,1.99
GW230627_015337,1.75
GW231213_111417,1.31
GW231104_133418,1.2
GW200220_061928,1.14
GW170608,1.08
GW191230_180458,0.53
GW191129_134029,0.51
GW190403_051519,0.43
GW190708_232457,0.32
GW190706_222641,0.3
GW230904_051013,0.26
GW190527_092055,0.16
GW190719_215514,0.08
GW190521,0.06
GW230731_215307,0.03
GW230814_061920,0.0
GW200202_154313,0.0
GW200225_060421,0.0
GW190503_185404,0.0
GW231028_153006,0.0
GW230628_231200,0.0
GW190925_232845,0.0
GW191105_143521,0.0
GW231206_233901,0.0
GW190916_200658,0.0
GW190924_021846,0.0
GW231226_101520,0.0
GW170818,0.0
GW190701_203306,0.0
GW190805_211137,0.0
GW200224_222234,0.0
GW191103_012549,0.0
GW190413_052954,0.0
GW170814,0.0
GW230922_020344,0.0
GW190728_064510,0.0
GW200311_115853,0.0
GW200209_085452,0.0
GW231123_135430,0.0
GW190630_185205,0.0
GW190915_235702,0.0
GW170809,0.0
GW200208_130117,0.0
GW230712_090405,0.0
GW190412,0.0
GW190413_134308,0.0
GW200219_094415,0.0
