event_name,overlap_percentage
GW190720_000836,52.9
GW231005_021030,48.17
GW190930_133541,45.53
GW230624_113103,45.42
GW230927_043729,42.26
GW230825_041334,40.76
GW230922_040658,39.59
GW190707_093326,38.72
GW231018_233037,35.81
GW230729_082317,35.11
GW190828_065509,32.0
GW231004_232346,29.44
GW230605_065343,29.36
GW230708_230935,28.38
GW231118_005626,28.01
GW200302_015811,27.7
GW190910_112807,27.29
GW231223_075055,26.19
GW231014_040532,26.03
GW190513_205428,24.66
GW230811_032116,24.51
GW200316_215756,23.56
GW191215_223052,23.21
GW231206_233134,21.71
GW190803_022701,21.43
GW190725_174728,21.32
GW190521_074359,20.94
GW230820_212515,20.48
GW230824_033047,20.09
GW231113_122623,19.52
GW200308_173609,18.57
GW200208_222617,18.39
GW230608_205047,18.29
GW191127_050227,17.06
GW190929_012149,16.86
GW190517_055101,16.44
GW200306_093714,16.41
GW230831_015414,16.07
GW200112_155838,16.05
GW230609_064958,15.87
GW190408_181802,15.63
GW230924_124453,15.49
GW190519_153544,15.45
GW230723_101834,15.31
GW231110_040320,15.27
GW231114_043211,15.22
GW231029_111508,14.97
GW200216_220804,14.95
GW240109_050431,14.41
GW230920_071124,14.34
GW191113_071753,13.96
GW190926_050336,13.45
GW191222_033537,13.32
GW231223_202619,13.0
GW230709_122727,12.79
GW230927_153832,12.52
GW230630_125806,12.31
GW230702_185453,12.26
GW151226,12.22
GW151012,12.2
GW230707_124047,12.02
GW200220_124850,12.01
GW191216_213338,11.92
GW190421_213856,11.72
GW231224_024321,11.71
GW231118_090602,11.57
GW231230_170116,11.26
GW230914_111401,11.23
GW230805_034249,11.14
GW200322_091133,11.13
GW231005_091549,11.1
GW240104_164932,11.04
GW231102_071736,10.93
GW200128_022011,10.51
GW170823,10.49
GW230704_212616,10.45
GW230819_171910,10.36
GW230601_224134,10.33
GW190512_180714,10.29
GW230706_104333,10.1
GW230930_110730,9.77
GW231223_032836,9.64
GW190514_065416,9.51
GW230606_004305,9.38
GW231127_165300,9.35
GW231129_081745,9.17
GW190602_175927,8.99
GW191204_171526,8.94
GW190731_140936,8.93
GW230803_033412,8.77
GW231119_075248,8.67
GW231118_071402,8.65
GW231008_142521,8.39
GW230928_215827,8.28
GW240107_013215,8.04
GW150914,7.96
GW231001_140220,7.94
GW230919_215712,7.86
GW170729,7.5
GW191109_010717,7.45
GW230911_195324,7.35
GW230708_053705,7.22
GW230704_021211,7.22
GW191204_110529,6.54
GW190727_060333,6.42
GW231020_142947,6.37
GW230726_002940,6.1
GW190426_190642,6.04
GW231113_200417,5.92
GW231231_154016,5.11
GW191126_115259,5.1
GW231221_135041,4.89
GW170104,4.87
GW230806_204041,4.7
GW230814_230901,4.04
GW231108_125142,3.84
GW230630_234532,3.19
GW200129_065458,2.65
GW190828_063405,2.36
GW190620_030421,2.34
GW230627_015337,1.94
GW231104_133418,1.94
GW200220_061928,1.61
GW231213_111417,1.54
GW170608,1.08
GW191129_134029,0.58
GW191230_180458,0.53
GW190706_222641,0.48
GW190708_232457,0.47
GW190403_051519,0.45
GW230904_051013,0.26
GW190527_092055,0.17
GW190719_215514,0.08
GW190521,0.08
GW230731_215307,0.03
GW230814_061920,0.0
GW200202_154313,0.0
GW200225_060421,0.0
GW190503_185404,0.0
GW231028_153006,0.0
GW230628_231200,0.0
GW190925_232845,0.0
GW191105_143521,0.0
GW231206_233901,0.0
GW190916_200658,0.0
GW190924_021846,0.0
GW231226_101520,0.0
GW170818,0.0
GW190701_203306,0.0
GW190805_211137,0.0
GW200224_222234,0.0
GW191103_012549,0.0
GW190413_052954,0.0
GW170814,0.0
GW230922_020344,0.0
GW190728_064510,0.0
GW200311_115853,0.0
GW200209_085452,0.0
GW231123_135430,0.0
GW190630_185205,0.0
GW190915_235702,0.0
GW170809,0.0
GW200208_130117,0.0
GW230712_090405,0.0
GW190412,0.0
GW190413_134308,0.0
GW200219_094415,0.0
