event_name,overlap_percentage
GW200224_222234,34.42
GW200129_065458,24.49
GW190924_021846,16.4
GW190925_232845,12.49
GW190701_203306,12.23
GW200311_115853,11.63
GW231206_233901,9.58
GW231123_135430,9.56
GW200220_061928,7.97
GW190728_064510,7.12
GW190519_153544,6.49
GW240107_013215,6.17
GW191103_012549,6.07
GW190421_213856,5.85
GW190512_180714,5.63
GW170608,5.55
GW190731_140936,5.45
GW231110_040320,5.43
GW190517_055101,5.33
GW190708_232457,5.32
GW231224_024321,5.29
GW190602_175927,5.27
GW230707_124047,5.21
GW231223_075055,5.18
GW230606_004305,5.08
GW231014_040532,4.95
GW231206_233134,4.9
GW230605_065343,4.85
GW230630_125806,4.85
GW230723_101834,4.8
GW230709_122727,4.79
GW230726_002940,4.79
GW230601_224134,4.74
GW231127_165300,4.72
GW230708_053705,4.69
GW230814_230901,4.65
GW231028_153006,4.64
GW231020_142947,4.61
GW230814_061920,4.58
GW231005_091549,4.5
GW231221_135041,4.49
GW230920_071124,4.48
GW230624_113103,4.46
GW191109_010717,4.42
GW190719_215514,4.42
GW230904_051013,4.36
GW200308_173609,4.34
GW231118_005626,4.3
GW190916_200658,4.29
GW190803_022701,4.22
GW191126_115259,4.2
GW200322_091133,4.14
GW230630_234532,4.12
GW230911_195324,4.12
GW230704_212616,4.07
GW170823,4.01
GW230928_215827,3.98
GW191222_033537,3.96
GW231223_032836,3.93
GW231102_071736,3.93
GW190910_112807,3.93
GW231029_111508,3.9
GW230805_034249,3.89
GW230811_032116,3.88
GW231108_125142,3.88
GW190630_185205,3.87
GW231004_232346,3.86
GW230729_082317,3.85
GW230702_185453,3.85
GW231231_154016,3.82
GW190514_065416,3.77
GW231114_043211,3.75
GW240109_050431,3.73
GW190426_190642,3.67
GW231005_021030,3.66
GW151226,3.6
GW230803_033412,3.6
GW151012,3.57
GW240104_164932,3.44
GW231104_133418,3.42
GW230731_215307,3.31
GW230824_033047,3.25
GW231113_122623,3.24
GW230704_021211,3.24
GW190521_074359,3.22
GW231223_202619,3.2
GW231118_071402,3.19
GW231008_142521,3.19
GW231213_111417,3.17
GW200306_093714,3.16
GW190805_211137,3.1
GW191204_110529,3.1
GW230927_153832,3.07
GW230922_040658,3.06
GW231230_170116,3.03
GW231119_075248,3.02
GW191204_171526,3.0
GW190930_133541,2.98
GW190926_050336,2.96
GW191113_071753,2.91
GW230914_111401,2.88
GW170104,2.87
GW200220_124850,2.87
GW190706_222641,2.86
GW230712_090405,2.85
GW230806_204041,2.84
GW231001_140220,2.77
GW230819_171910,2.72
GW190527_092055,2.71
GW230924_124453,2.7
GW230930_110730,2.7
GW190413_134308,2.7
GW231113_200417,2.53
GW231118_090602,2.53
GW191216_213338,2.51
GW200128_022011,2.5
GW231129_081745,2.49
GW190707_093326,2.45
GW230919_215712,2.44
GW191129_134029,2.35
GW230927_043729,2.31
GW190725_174728,2.3
GW230609_064958,2.26
GW200112_155838,2.18
GW190620_030421,2.11
GW230706_104333,2.11
GW230825_041334,2.1
GW231018_233037,2.03
GW230831_015414,1.98
GW230608_205047,1.91
GW230820_212515,1.83
GW230708_230935,1.8
GW190403_051519,1.72
GW190929_012149,1.62
GW200216_220804,1.55
GW170729,1.46
GW190915_235702,1.35
GW191127_050227,1.21
GW200208_222617,1.09
GW230628_231200,0.9
GW191105_143521,0.88
GW200302_015811,0.83
GW190408_181802,0.71
GW190413_052954,0.11
GW190513_205428,0.01
GW200202_154313,0.0
GW200225_060421,0.0
GW190503_185404,0.0
GW190720_000836,0.0
GW231226_101520,0.0
GW190727_060333,0.0
GW150914,0.0
GW170818,0.0
GW170814,0.0
GW200316_215756,0.0
GW190828_063405,0.0
GW230922_020344,0.0
GW190828_065509,0.0
GW200209_085452,0.0
GW190521,0.0
GW191230_180458,0.0
GW170809,0.0
GW200208_130117,0.0
GW190412,0.0
GW230627_015337,0.0
GW200219_094415,0.0
GW191215_223052,0.0
